Term,Major,Likelihood
201810,IngEléctrica,-15.518770287889645
201810,IngIndustrial,-1793.3547873147213
201810,IngMecánica,-1645.1172434449995
201810,IngQuímica,-767.6646819243967
201810,IngSistemas,-930.658700119717
201810,Literatura,-184.69145378925558
201810,Matemáticas,-28.79241347770436
201810,Medicina,-378.0440445437139
201810,Microbiología,-55.358052180996886
201810,Música,-34.33434139322471
201810,Psicología,-131.6239928662524
201810,Química,-18.5296472591676
201820,Administración,-3482.169129868531
201820,Antropología,-116.78597532014197
201820,Arquitectura,-825.8420247269999
201820,Artes,-135.5095440359122
201820,Biología,-71.10470819532048
201820,Cpol,-392.9720326474391
201820,Derecho,-2222.9612683621854
201820,Diseño,-1570.7643516654741
201820,Economía,-2741.4280692560023
201820,Filosofía,-10.321553192216324
201820,Física,-118.83971294271765
201820,Geociencias,-63.194206485879505
201820,GobPolítica,-455.50475907131465
201820,HistArte,-20.129251935074596
201820,Historia,0.0
201820,IngAmbiental,-139.19085348511288
201820,IngBiomédica,-1107.5605465465683
201820,IngCivil,-1128.3191560189325
201820,IngElectrónica,-256.0862257933063
201820,IngEléctrica,-26.673020046559248
201820,IngIndustrial,-4353.526947938883
201820,IngMecánica,-1891.6129008843782
201820,IngQuímica,-419.7167877820765
201820,IngSistemas,-817.5793565983074
201820,Literatura,-62.264199858278175
201820,Matemáticas,-41.04403621018608
201820,Medicina,-1484.9681080539858
201820,Microbiología,-23.196380429381055
201820,Música,-48.27293589750794
201820,Psicología,-484.33881155594804
201820,Química,-2.0278778681806022
201610,Administración,-1151.6235881582131
201610,Antropología,-165.49730497612387
201610,Arquitectura,-985.6369569162601
201610,Artes,-180.11722222287761
201610,Biología,-311.351039204633
201610,Cpol,-920.0095219124487
201610,Derecho,-1309.3019148772723
201610,Diseño,-1290.9377751941438
201610,Economía,-1681.6913931335373
201610,Filosofía,-18.5881594713859
201610,Física,-152.39237192554484
201610,Geociencias,-187.72186185654954
201610,GobPolítica,-377.8658336953104
201610,HistArte,-1.9949007002778643
201610,Historia,-3.7920601523774975
201610,IngAmbiental,-1143.5598789325468
201610,IngBiomédica,-905.4423011352762
201610,IngCivil,-1294.3261598654105
201610,IngElectrónica,-860.7152852482601
201610,IngEléctrica,-81.7216644702976
201610,IngIndustrial,-2845.5797398850636
201610,IngMecánica,-2772.871575272266
201610,IngQuímica,-2064.8727592685423
201610,IngSistemas,-1913.1630635627414
201610,Literatura,-164.11617026688984
201610,Matemáticas,-26.189779091587678
201610,Medicina,-1112.7247728202035
201610,Microbiología,-94.47320008619434
201610,Música,-223.76361551030936
201610,Psicología,-990.907573390415
201610,Química,-317.02927485523105
201620,Administración,-1667.3817010814153
201620,Antropología,-33.871622341637774
201620,Arquitectura,-1203.1378340807373
201620,Artes,-213.20381016777677
201620,Biología,-212.0255194535629
201620,Cpol,-913.3235350472286
201620,Derecho,-1462.7935664716697
201620,Diseño,-1377.3028507582258
201620,Economía,-2874.205421443986
201620,Filosofía,-20.966865109943395
201620,Física,-44.53109552205128
201620,Geociencias,-31.073771529706836
201620,GobPolítica,-689.5054868118201
201620,HistArte,-45.42298856291775
201620,Historia,0.0
201620,IngAmbiental,-216.22220682348367
201620,IngBiomédica,-652.75775170038
201620,IngCivil,-971.6351017580487
201620,IngElectrónica,-266.56675014943755
201620,IngEléctrica,-22.315692065696282
201620,IngIndustrial,-2664.0288933984793
201620,IngMecánica,-1726.7845361166794
201620,IngQuímica,-1052.3549301402663
201620,IngSistemas,-716.0545933250434
201620,Literatura,-74.92312980890544
201620,Matemáticas,-10.537740131944263
201620,Medicina,-1611.224794073131
201620,Microbiología,-79.64210881665909
201620,Música,-108.2544063351963
201620,Psicología,-542.5258262398193
201620,Química,-13.210581663346213
201710,Administración,-1068.354719545195
201710,Antropología,-113.97412003839304
201710,Arquitectura,-1272.8258143969208
201710,Artes,-388.4584937725316
201710,Biología,-137.15913250229082
201710,Cpol,-539.7871450924373
201710,Derecho,-921.7701650813434
201710,Diseño,-1581.9412212778432
201710,Economía,-1438.3787424102065
201710,Filosofía,-10.333590484029724
201710,Física,-151.2398397957079
201710,Geociencias,-41.485360247247804
201710,GobPolítica,-466.33832104711973
201710,HistArte,-51.1309663984183
201710,Historia,-24.42913352715981
201710,IngAmbiental,-840.489018366263
201710,IngBiomédica,-1125.9054530737571
201710,IngCivil,-1331.8109561864287
201710,IngElectrónica,-382.7530052242764
201710,IngEléctrica,-92.86533761290084
201710,IngIndustrial,-1287.7430342838727
201710,IngMecánica,-1903.9982027518163
201710,IngQuímica,-2173.0035962077527
201710,IngSistemas,-1275.4851998927625
201710,Literatura,-272.9453681671992
201710,Matemáticas,-33.937722693415886
201710,Medicina,-369.59620766698583
201710,Microbiología,-181.59326938631355
201710,Música,-108.90892448702965
201710,Psicología,-663.1264218558377
201710,Química,-122.45125100648569
201720,Administración,-1523.368447472722
201720,Antropología,-49.67123865252589
201720,Arquitectura,-1092.3183767533906
201720,Artes,-151.56950060395104
201720,Biología,-72.43336340991291
201720,Cpol,-571.6946593611003
201720,Derecho,-702.5348576068141
201720,Diseño,-1522.1822493972109
201720,Economía,-1579.6130357744437
201720,Filosofía,-7.859101030883614
201720,Física,-23.839086132749124
201720,Geociencias,-25.269569741217982
201720,GobPolítica,-476.79675129158153
201720,HistArte,-18.176764874182016
201720,Historia,-35.42328158052857
201720,IngAmbiental,-113.47812208189569
201720,IngBiomédica,-462.1870301948289
201720,IngCivil,-1375.630757168522
201720,IngElectrónica,-279.7398470558298
201720,IngEléctrica,-8.24847240289682
201720,IngIndustrial,-2300.2847707197534
201720,IngMecánica,-1691.8025109818836
201720,IngQuímica,-614.5675194001169
201720,IngSistemas,-890.2770154649627
201720,Literatura,-76.76821824461607
201720,Matemáticas,-34.78868485449603
201720,Medicina,-1302.4980558944887
201720,Microbiología,-45.61524395675712
201720,Música,-213.3916329554191
201720,Psicología,-511.73843666558065
201720,Química,-13.397169235586443
201810,Administración,-1481.3644447990152
201810,Antropología,-23.781193866106516
201810,Arquitectura,-565.625601064189
201810,Artes,-213.899129832316
201810,Biología,-19.731813000960678
201810,Cpol,-261.6412074194839
201810,Derecho,-1501.0588213643296
201810,Diseño,-1260.502309551372
201810,Economía,-2104.730381527324
201810,Filosofía,-4.008502489383197
201810,Física,-89.75335614173562
201810,Geociencias,-91.41849308832903
201810,GobPolítica,-305.53105650721864
201810,HistArte,-17.58195879825448
201810,Historia,-0.45056120886630463
201810,IngAmbiental,-213.63061349616854
201810,IngBiomédica,-1087.3992707280288
201810,IngCivil,-1041.4578511631698
201810,IngElectrónica,-293.907465099333
201810,IngEléctrica,-15.181537109882582
201810,IngIndustrial,-1719.1869414668588
201810,IngMecánica,-1597.9731513647762
201810,IngQuímica,-760.276687722549
201810,IngSistemas,-858.0690140492972
201810,Literatura,-162.04703261637727
201810,Matemáticas,-26.735680773727626
201810,Medicina,-361.8058438790453
201810,Microbiología,-51.947110428304235
201810,Música,-31.564582302487516
201810,Psicología,-125.07217811919907
201810,Química,-18.37312782411867
201820,Administración,-3421.219773519528
201820,Antropología,-111.19112568460103
201820,Arquitectura,-772.6835435476598
201820,Artes,-129.76779929309365
201820,Biología,-67.98027632969404
201820,Cpol,-375.82485772168775
201820,Derecho,-2089.6991081790366
201820,Diseño,-1518.7877869779782
201820,Economía,-2643.24863043343
201820,Filosofía,-9.653305380008726
201820,Física,-115.19291764506643
201820,Geociencias,-56.04090771396647
201820,GobPolítica,-425.8843460531108
201820,HistArte,-18.39486966819288
201820,Historia,0.0
201820,IngAmbiental,-136.45375547768563
201820,IngBiomédica,-1102.0393345979044
201820,IngCivil,-1073.0564531327614
201820,IngElectrónica,-253.61794377891403
201820,IngEléctrica,-25.36561725797826
201820,IngIndustrial,-4250.890590685665
201820,IngMecánica,-1832.2768649212474
201820,IngQuímica,-415.309519873302
201820,IngSistemas,-785.9496660236587
201820,Literatura,-61.31173342815955
201820,Matemáticas,-38.59354993493615
201820,Medicina,-1444.5525652506524
201820,Microbiología,-22.904168417526414
201820,Música,-45.718428078787234
201820,Psicología,-470.46328594848035
201820,Química,-1.9449896381749996
201610,Administración,-1151.6235881582131
201610,Antropología,-165.49730497612387
201610,Administración,-1035.6806845771007
201610,Antropología,-163.67326911878152
201610,Arquitectura,-974.6844110050702
201610,Artes,-167.063256208323
201610,Biología,-300.33463491599736
201610,Cpol,-919.9356152013734
201610,Derecho,-1287.4910537886142
201610,Diseño,-1243.4819321646453
201610,Economía,-1570.172396288888
201610,Filosofía,-18.5881594713859
201610,Física,-141.9086576448254
201610,Geociencias,-187.72186185654954
201610,GobPolítica,-377.8658336953104
201610,HistArte,-1.9949007002778643
201610,Historia,-3.7920601523774975
201610,IngAmbiental,-1163.5678805754392
201610,IngBiomédica,-838.3234024836662
201610,IngCivil,-1262.5472811531845
201610,IngElectrónica,-852.2788700061907
201610,IngEléctrica,-81.7216644702976
201610,IngIndustrial,-2776.9809438142743
201610,IngMecánica,-2643.023350813356
201610,IngQuímica,-2062.985209883867
201610,IngSistemas,-1913.1630635627414
201610,Literatura,-149.4183673188508
201610,Matemáticas,-26.189779091587678
201610,Medicina,-1058.3929620504052
201610,Microbiología,-94.47320008619434
201610,Música,-223.76361551030936
201610,Psicología,-957.4246424127348
201610,Química,-301.26641736791316
201620,Administración,-1385.4724049723652
201620,Antropología,-23.162859960409975
201620,Arquitectura,-1034.6863407305837
201620,Artes,-196.18116950156454
201620,Biología,-184.38251721811463
201620,Cpol,-878.1388208500829
201620,Derecho,-1399.0107450966318
201620,Diseño,-1267.771395046205
201620,Economía,-2394.1011475852233
201620,Filosofía,-15.779548835475715
201620,Física,-30.05352240392384
201620,Geociencias,-10.58312061267632
201620,GobPolítica,-603.3723923499036
201620,HistArte,-45.42298856291775
201620,Historia,0.0
201620,IngAmbiental,-197.39386925416872
201620,IngBiomédica,-464.348372816373
201620,IngCivil,-800.9110933877411
201620,IngElectrónica,-170.8776846351033
201620,IngEléctrica,-13.928485390807332
201620,IngIndustrial,-2125.062631850008
201620,IngMecánica,-1475.4828214650777
201620,IngQuímica,-774.602366241833
201620,IngSistemas,-541.659753098379
201620,Literatura,-48.494071393013215
201620,Matemáticas,-7.05459180656618
201620,Medicina,-1358.0120831413258
201620,Microbiología,-54.96948322091955
201620,Música,-84.67948691100062
201620,Psicología,-542.5258262398193
201620,Química,-6.261338524326549
201710,Administración,-996.5432730965573
201710,Antropología,-102.88008973158695
201710,Arquitectura,-1201.3581619993054
201710,Artes,-388.4584937725316
201710,Biología,-137.15913250229082
201710,Cpol,-539.7871450924373
201710,Derecho,-846.1574873214589
201710,Diseño,-1540.1557600701599
201710,Economía,-1404.4928526782844
201710,Filosofía,-11.524480637189317
201710,Física,-151.2398397957079
201710,Geociencias,-34.57082053248394
201710,GobPolítica,-442.1387326243495
201710,HistArte,-51.1309663984183
201710,Historia,-24.42913352715981
201710,IngAmbiental,-810.4344772979867
201710,IngBiomédica,-1045.8884060958178
201710,IngCivil,-1293.7559492989815
201710,IngElectrónica,-382.7530052242764
201710,IngEléctrica,-86.63104012146813
201710,IngIndustrial,-1248.6629525750218
201710,IngMecánica,-1831.5698720616308
201710,IngQuímica,-2081.471008379959
201710,IngSistemas,-1247.345880683805
201710,Literatura,-272.9453681671992
201710,Matemáticas,-33.937722693415886
201710,Medicina,-369.80607455357915
201710,Microbiología,-166.83423587168085
201710,Música,-108.90892448702965
201710,Psicología,-663.5318192730687
201710,Química,-122.40556515445543
201720,Administración,-1485.7108095682145
201720,Antropología,-49.67123865252589
201720,Arquitectura,-999.433058213867
201720,Artes,-124.12854435219366
201720,Biología,-64.00822437486362
201720,Cpol,-587.048589438123
201720,Derecho,-686.5067592836078
201720,Diseño,-1522.1822493972109
201720,Economía,-1579.6130357744437
201720,Filosofía,-7.859101030883614
201720,Física,-23.839086132749124
201720,Geociencias,-25.269569741217982
201720,GobPolítica,-476.79675129158153
201720,HistArte,-18.176764874182016
201720,Historia,-35.48838429731891
201720,IngAmbiental,-113.47812208189569
201720,IngBiomédica,-451.4762244439302
201720,IngCivil,-1375.630757168522
201720,IngElectrónica,-279.9502886731544
201720,IngEléctrica,-8.464350511664344
201720,IngIndustrial,-2205.1601200188325
201720,IngMecánica,-1576.632568321969
201720,IngQuímica,-588.6569292967874
201720,IngSistemas,-890.7626552259949
201720,Literatura,-76.76821824461607
201720,Matemáticas,-34.78868485449603
201720,Medicina,-1260.8680382836994
201720,Microbiología,-45.61524395675712
201720,Música,-199.07662839574814
201720,Psicología,-511.73843666558065
201720,Química,-13.397169235586443
201810,Administración,-1433.9860335616816
201810,Antropología,-23.781193866106516
201810,Arquitectura,-565.625601064189
201810,Artes,-181.57305548645408
201810,Biología,-19.2371290621259
201810,Cpol,-261.6412074194839
201810,Derecho,-1419.9166618645893
201810,Diseño,-989.16862575623
201810,Economía,-2057.327912389052
201810,Filosofía,-4.008502489383197
201810,Física,-79.31613511655964
201810,Geociencias,-80.41347966361798
201810,GobPolítica,-296.0711440029143
201810,HistArte,-17.58195879825448
201810,Historia,-0.45056120886630463
201810,IngAmbiental,-206.82725170364472
201810,IngBiomédica,-1056.351890481338
201810,IngCivil,-1031.4393695848119
201810,IngElectrónica,-275.016871807944
201810,IngEléctrica,-13.681176762085098
201810,IngIndustrial,-1669.2020270802423
201810,IngMecánica,-1511.9171597541167
201810,IngQuímica,-734.0986403438102
201810,IngSistemas,-858.0690140492972
201810,Literatura,-154.437308901976
201810,Matemáticas,-26.735680773727626
201810,Medicina,-341.39259528591526
201810,Microbiología,-51.947110428304235
201810,Música,-31.463085657482093
201810,Psicología,-125.07217811919907
201810,Química,-18.37312782411867
201820,Administración,-3301.1912623696335
201820,Antropología,-111.19112568460103
201820,Arquitectura,-713.5388100105757
201820,Artes,-117.82905582579424
201820,Biología,-67.98027632969404
201820,Cpol,-375.82485772168775
201820,Derecho,-2101.4617583500763
201820,Diseño,-1447.2213302909
201820,Economía,-2620.0928640119114
201820,Filosofía,-9.653305380008726
201820,Física,-115.19291764506643
201820,Geociencias,-56.04090771396647
201820,GobPolítica,-425.8843460531108
201820,HistArte,-11.489571763370328
201820,Historia,0.0
201820,IngAmbiental,-136.45375547768563
201820,IngBiomédica,-1099.4957814535478
201820,IngCivil,-1059.8582410861557
201820,IngElectrónica,-253.61068038812667
201820,IngEléctrica,-25.36561725797826
201820,IngIndustrial,-4141.714641888144
201820,IngMecánica,-1691.9656479332934
201820,IngQuímica,-415.309519873302
201820,IngSistemas,-728.4651959712537
201820,Literatura,-61.31173342815955
201820,Matemáticas,-28.364289243122357
201820,Medicina,-1444.5525652506524
201820,Microbiología,-22.944080716641444
201820,Música,-40.435261559694375
201820,Psicología,-470.46328594848035
201820,Química,-1.9449896381749996
201610,Matemáticas_2_bloques,-26.189779091587678
201610,Matemáticas_4_bloques,-25.582495282548297
201610,Matemáticas_6_bloques,-25.541119779673704
201610,Matemáticas_8_bloques,-25.75052844606205
201610,Matemáticas_10_bloques,-25.43018774379214
201610,Matemáticas_2_bloques,-26.189779091587678
201610,Matemáticas_4_bloques,-25.648350488858515
201610,Matemáticas_6_bloques,-25.393174828508855
201610,Matemáticas_8_bloques,-25.612482487743197
201610,Matemáticas_10_bloques,-25.413277069357964
201610,Matemáticas_2_bloques,-26.189779091587678
201610,Matemáticas_4_bloques,-25.63819991071026
201610,Matemáticas_6_bloques,-25.523332988325098
201610,Matemáticas_8_bloques,-25.507991420741146
201610,Matemáticas_10_bloques,-25.299309342249337
201610,Matemáticas_2_bloques,-26.189779091587678
201610,Matemáticas_4_bloques,-25.590147228792212
201610,Matemáticas_6_bloques,-25.41640644312788
201610,Matemáticas_8_bloques,-25.546038799536824
201610,Matemáticas_10_bloques,-25.403451817642736
201610,Matemáticas_2_bloques,-26.189779091587678
201610,Matemáticas_4_bloques,-25.497361828935272
201610,Matemáticas_6_bloques,-25.44988339462929
201610,Matemáticas_8_bloques,-25.278704348078797
201610,Matemáticas_10_bloques,-25.351814840799676
201610,Matemáticas_2_bloques,-26.189779091587678
201610,Matemáticas_4_bloques,-25.497361828935272
201610,Matemáticas_6_bloques,-25.443358732317474
201610,Matemáticas_8_bloques,-25.2576191446716
201610,Matemáticas_10_bloques,-25.292171577007878
201610,Matemáticas_2_bloques,-26.189779091587678
201610,Matemáticas_4_bloques,-25.582495282548297
201610,Matemáticas_6_bloques,-25.413277069357964
201610,Matemáticas_8_bloques,-25.351814840799676
201610,Matemáticas_10_bloques,-25.267268004994108
201610,Matemáticas_2_bloques,-26.189779091587678
201610,Matemáticas_4_bloques,-25.497361828935272
201610,Matemáticas_6_bloques,-25.379094511100153
201610,Matemáticas_8_bloques,-25.30726826986722
201610,Matemáticas_10_bloques,-25.28944999054174
